id,question,ans1,ans2,ans3,ans4,ans_true,help
1,Giải Grand Slam đầu tiên trong năm là giải nào?,Austrlia mở rộng, Wimbledon,Roland Garos,Mỹ mở rộng,1,1
2,AFC Asian Cup 2011 được tổ chức tại quốc gia nào?,Qatar,Hàn Quốc, Nhật Bản,Iraq,1,1
3,Đội nào lên ngôi vô địch AFC Asian Cup 2011 tổ chức tại Qatar?,Nhật Bản,Australia,Hàn Quốc,Uzbekistan,1,1
4,"Cùng với Hà Nội T&T (vô địch V-League 2010), CLB nào của Việt Nam tham dự AFC Cup 2011?",Sông Lam Nghệ An,SHB Đà Nẵng,Hoàng Anh Gia Lai,Becamex Bình Dương,1,1
5,Sông Bến Hải và sông Thạch Hãn nằm ở tỉnh nào?,Quảng Bình,Quảng Ninh,Quảng Trị,Quảng Ngãi,3,3
6,"Trong các cây cầu sau, cầu nào là cầu xoay?",Cầu Thanh Trì,Cầu Thị Nại,Cầu Sông Hàn,Cầu Cần Thơ,3,3
7,Đại Ngu là quốc hiệu của triều đại nào?,Triều Ngô,Triều Hồ,Các chúa Nguyễn,Nhà Tây Sơn,2,2
8,Các vua Hùng đặt quốc hiệu nước ta là gì?,Văn Lang,Âu Lạc,Vạn Xuân,Đại Việt,1,1
9,An Dương Vương đặt quốc hiệu nước ta là gì?,Âu Lạc,Vạn Xuân,Đại Cồ Việt,Đại Việt,1,1
10,"Năm 1010, Lý Thái Tổ đã cho xây dựng điện nào ở trung tâm hoàng thành
Thăng Long?",Điện Kính Thiên,Điện Càn Nguyên,Điện Càn Chánh,Điện Càn Thành,2,2
11,"""Điêu tàn"" là tập thơ đầu tiên của nhà thơ nào?",Anh Thơ,Thế Lữ,Bích Khê,Chế Lan Viên,2,2
12,"Hội nghị chống biến đổi khí hậu lần thứ 17- 2011 được tổ chức tại nước
nào?",Đan Mạch (2011),Mexico (2010),Nam Phi (2011),Quatar và Hàn Quốc (2012),3,3
13,Ai được bầu làm Tổng bí thư Đảng cộng sản Việt Nam tại Đại hội XI?,Nguyễn Phú Trọng,Nguyễn Sinh Hùng,Trương Tấn Sang,Nguyễn Tấn Dũng,1,1
14,Tỉnh nào đăng cai tổ chức Năm du lịch Quốc gia 2012?,Thừa Thiên Huế,Hải Phòng,Lâm Đồng,Thanh Hoá,1,1
15,"Sự kiện giờ Trái Đất, sáng kiến của WWF được tổ chức lần đầu tiên vào
năm 2007 tại thành phố nào?",Sydney,Tokyo,Bắc Kinh,Singapore,1,1
16,"Bùi Hữu Nghĩa, một trong bốn rồng vàng của vùng Đồng Nai xưa (tức là
toàn Nam Bộ ngày nay) là tài năng ở lĩnh vực nào?",Hoạ,Phú,Đàn,Thi,4,4
17,"Giải thưởng nào được lập ra vào năm 2005 được trao cho những người có
thành tựu trong việc phát huy và gìn giữ văn hóa dân tộc?",Đào Tấn,Bùi Xuân Phái,Lê Văn Thiêm,Phạm Thuận Dật,1,1